title,timestamp,date,time,url,description
Chicago Bulls vs. Toronto Raptors,2019-10-26 19:00:00 UTC,2019-10-26,07:00 PM,/events/2019/10/26/chicago-bulls-vs-toronto-raptors/,Chicago Bulls vs. Toronto Raptors
Chicago Blackhawks vs. Los Angeles Kings,2019-10-27 18:00:00 UTC,2019-10-27,06:00 PM,/events/2019/10/27/chicago-blackhawks-vs-los-angeles-kings/,Chicago Blackhawks vs. Los Angeles Kings
Carrie Underwood,2019-10-29 19:00:00 UTC,2019-10-29,07:00 PM,/events/2019/10/29/carrie-underwood-cry-pretty/,"Seven-time Grammy winner and Pollstar’s three-time top female country touring artist, Carrie Underwood, will launch a new arena tour, The Cry Pretty Tour 360, in Spring 2019.  Sponsored by CALIA, the new tour will will play 55 arenas across the U.S. and Canada and stop in Chicago on October 29.  She will be joined on tour by special guests Maddie & Tae and Runaway June.  "
Chicago Bulls vs. Detroit Pistons,2019-11-01 19:00:00 UTC,2019-11-01,07:00 PM,/events/2019/11/01/chicago-bulls-vs-detroit-pistons/,Chicago Bulls vs. Detroit Pistons
Sebastian Maniscalco,2019-11-02 21:00:00 UTC,2019-11-02,09:00 PM,/events/2019/11/02/sebastian-maniscalco-you-bother-me/,"Fresh off a wildly successful, two-year-plus run on his Stay Hungry Tour, Billboard’s inaugural Comedian of the Year Sebastian Maniscalco is back with the You Bother Me tour! "
TOOL,2019-11-03 19:30:00 UTC,2019-11-03,07:30 PM,/events/2019/11/03/tool-fear-inoculum/,"TOOL, having just released their eagerly awaited fifth studio album, Fear Inoculum, have announced a fall tour including a stop in Chicago on November 3. Special guests will be Killing Joke. "
Chicago Bulls vs. Los Angeles Lakers,2019-11-05 19:00:00 UTC,2019-11-05,07:00 PM,/events/2019/11/05/chicago-bulls-vs-los-angeles-lakers/,Chicago Bulls vs. Los Angeles Lakers
Chicago Blackhawks vs. Vancouver Canucks,2019-11-07 19:30:00 UTC,2019-11-07,07:30 PM,/events/2019/11/07/chicago-blackhawks-vs-vancouver-canucks/,Chicago Blackhawks vs. Vancouver Canucks
Chicago Bulls vs. Houston Rockets,2019-11-09 19:00:00 UTC,2019-11-09,07:00 PM,/events/2019/11/09/chicago-bulls-vs-houston-rockets/,Chicago Bulls vs. Houston Rockets
Chicago Blackhawks vs. Toronto Maple Leafs,2019-11-10 18:00:00 UTC,2019-11-10,06:00 PM,/events/2019/11/10/chicago-blackhawks-vs-toronto-maple-leafs/,Chicago Blackhawks vs. Toronto Maple Leafs
Chicago Bulls vs. New York Knicks,2019-11-12 19:00:00 UTC,2019-11-12,07:00 PM,/events/2019/11/12/chicago-bulls-vs-new-york-knicks/,Chicago Bulls vs. New York Knicks
SuperM,2019-11-13 19:00:00 UTC,2019-11-13,07:00 PM,/events/2019/11/13/superm-we-are-the-future-live/,"K-pop all-star group SuperM will launch its first series of live shows, including a stop in Chicago on November 13!"
Chicago Bulls vs. Brooklyn Nets,2019-11-16 17:00:00 UTC,2019-11-16,05:00 PM,/events/2019/11/16/chicago-bulls-vs-brooklyn-nets/,Chicago Bulls vs. Brooklyn Nets
Chicago Blackhawks vs. Buffalo Sabres,2019-11-17 18:00:00 UTC,2019-11-17,06:00 PM,/events/2019/11/17/chicago-blackhawks-vs-buffalo-sabres/,Chicago Blackhawks vs. Buffalo Sabres
Chicago Bulls vs. Milwaukee Bucks,2019-11-18 19:00:00 UTC,2019-11-18,07:00 PM,/events/2019/11/18/chicago-bulls-vs-milwaukee-bucks/,Chicago Bulls vs. Milwaukee Bucks
Chicago Blackhawks vs. Carolina Hurricanes,2019-11-19 19:30:00 UTC,2019-11-19,07:30 PM,/events/2019/11/19/chicago-blackhawks-vs-carolina-hurricanes/,Chicago Blackhawks vs. Carolina Hurricanes
Chicago Bulls vs. Detroit Pistons,2019-11-20 19:00:00 UTC,2019-11-20,07:00 PM,/events/2019/11/20/chicago-bulls-vs-detroit-pistons/,Chicago Bulls vs. Detroit Pistons
Chicago Blackhawks vs. Tampa Bay Lightning,2019-11-21 19:30:00 UTC,2019-11-21,07:30 PM,/events/2019/11/21/chicago-blackhawks-vs-tampa-bay-lightning/,Chicago Blackhawks vs. Tampa Bay Lightning
Chicago Bulls vs. Miami Heat,2019-11-22 19:00:00 UTC,2019-11-22,07:00 PM,/events/2019/11/20/chicago-bulls-vs-miami-heat/,Chicago Bulls vs. Miami Heat
Chicago Bulls vs. Portland Trail Blazers,2019-11-25 19:00:00 UTC,2019-11-25,07:00 PM,/events/2019/11/25/chicago-bulls-vs-portland-trail-blazers/,Chicago Bulls vs. Portland Trail Blazers
