pickup_census_tract,community_area_name,sep_nov_2015,sep_nov_2016,growth
17031010202,1,5.0,5.0,0.0
17031110300,11,4.0,4.0,0.0
17031760803,76,4.0,1.0,-0.75
17031110100,11,4.0,5.0,0.25
17031040300,4,4.0,3.0,-0.25
17031100700,10,4.0,3.0,-0.25
17031838600,29,4.0,6.0,0.5
17031510300,51,3.0,6.0,1.0
17031580100,58,3.0,4.0,0.33333333333333326
17031210800,21,3.0,3.0,0.0
17031100500,10,3.0,4.0,0.33333333333333326
17031020301,2,3.0,4.0,0.33333333333333326
17031190402,19,3.0,1.0,-0.6666666666666667
17031230600,23,3.0,4.0,0.33333333333333326
17031410600,41,3.0,2.0,-0.33333333333333337
17031210501,21,3.0,7.0,1.3333333333333335
17031230400,23,2.0,2.0,0.0
17031836400,36,2.0,3.0,0.5
17031560400,56,2.0,3.0,0.5
17031160502,16,2.0,2.0,0.0
17031570300,57,2.0,4.0,1.0
17031161100,16,2.0,1.0,-0.5
17031240900,24,2.0,4.0,1.0
17031836600,23,1.0,1.0,0.0
17031411100,41,1.0,2.0,1.0
17031220300,22,1.0,6.0,5.0
17031160100,16,1.0,5.0,4.0
17031150800,15,1.0,5.0,4.0
17031020400,2,1.0,5.0,4.0
17031140100,14,1.0,8.0,7.0
